PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2021,47,2.51906,2.45867,14918,8183,X,13401,3719,3103,43324,3519,1762089
National,X,2021,48,2.55518,2.56351,15167,11304,X,17353,4893,4012,52729,3545,2056903
National,X,2021,49,2.73156,2.71846,14971,11373,X,19971,4863,3891,55069,3544,2025745
National,X,2021,50,3.14637,3.09823,16287,13615,X,23450,5232,3961,62545,3518,2018736
National,X,2021,51,4.00697,4.07867,18515,22557,X,25073,7773,5307,79225,3496,1942424
National,X,2021,52,4.90255,5.06901,24109,38300,X,28952,13512,8989,113862,3455,2246237
National,X,2022,1,4.32609,4.28066,17044,31478,X,24738,12063,7939,93262,3487,2178681
National,X,2022,2,3.53446,3.41579,12223,21830,X,20214,8735,6181,69183,3499,2025389
National,X,2022,3,2.80631,2.67796,9492,15006,X,13268,6185,4547,48498,3503,1811003
National,X,2022,4,2.07428,1.97776,7309,9877,X,9526,4582,3516,34810,3485,1760073
National,X,2022,5,1.68283,1.56091,6082,6431,X,7748,3018,2552,25831,3415,1654872
National,X,2022,6,1.44399,1.34542,6395,5170,X,7610,2401,2155,23731,3474,1763832
National,X,2022,7,1.49042,1.37085,6917,4645,X,8500,2083,1801,23946,3474,1746795
National,X,2022,8,1.46656,1.37026,7057,4638,X,8330,1816,1768,23609,3472,1722955
National,X,2022,9,1.58712,1.42301,7423,5008,X,9830,1864,1676,25801,3470,1813130
National,X,2022,10,1.70414,1.54683,8210,5060,X,11085,1951,1771,28077,3485,1815133
National,X,2022,11,1.83426,1.67881,9042,5914,X,12124,2202,2077,31359,3454,1867926
National,X,2022,12,1.87437,1.73443,9302,5973,X,12648,2334,2166,32423,3449,1869370
National,X,2022,13,1.97666,1.85462,9613,6759,X,13660,2384,2406,34822,3443,1877580
National,X,2022,14,2.07192,1.99404,10562,7272,X,15187,2573,2550,38144,3453,1912899
National,X,2022,15,2.16356,2.12964,11336,7838,X,16095,2868,2829,40966,3446,1923613
National,X,2022,16,2.20516,2.1833,11734,8315,X,15748,3172,3117,42086,3457,1927635
National,X,2022,17,2.30897,2.21509,12070,8422,X,16372,3274,3282,43420,3426,1960190
National,X,2022,18,2.36195,2.4143,12835,9402,X,18631,3608,3323,47799,3394,1979830
National,X,2022,19,2.55252,2.60892,14243,10135,X,19989,3843,3815,52025,3376,1994121
National,X,2022,20,2.4544,2.60434,15055,10460,X,20746,3985,3835,54081,3414,2076569
National,X,2022,21,2.39129,2.66831,14561,10167,X,19982,4010,3665,52385,3351,1963229
National,X,2022,22,2.43334,2.64646,15809,10584,X,17507,4060,3903,51863,3345,1959711
National,X,2022,23,2.16338,2.29329,14154,9654,X,13726,3941,3765,45240,3342,1972714
National,X,2022,24,1.9885,2.0741,12858,8941,X,11205,3665,3581,40250,3302,1940597
National,X,2022,25,1.87681,1.91807,11865,8676,X,9933,3736,3620,37830,3355,1972297
National,X,2022,26,1.80431,1.80208,11066,8004,X,8513,3523,3460,34566,3237,1918113
National,X,2022,27,1.8187,1.79307,10580,8380,X,8593,3697,3733,34983,3345,1951013
National,X,2022,28,1.67889,1.66869,9525,8324,X,8111,3546,3505,33011,3313,1978256
National,X,2022,29,1.66049,1.64913,9361,8219,X,8116,3483,3432,32611,3313,1977461
National,X,2022,30,1.67087,1.64799,9153,8056,X,7859,3485,3487,32040,3289,1944189
National,X,2022,31,1.53015,1.5292,8659,7295,X,7476,3104,3107,29641,3305,1938338
National,X,2022,32,1.51566,1.51741,8329,6816,X,7813,2804,2880,28642,3198,1887562
National,X,2022,33,1.60511,1.61916,9479,6659,X,9934,2819,2681,31572,3293,1949894
National,X,2022,34,1.83833,1.81145,10792,7079,X,12593,2730,2593,35787,3280,1975601
National,X,2022,35,1.96617,1.89564,11524,6980,X,13887,2670,2452,37513,3260,1978914
National,X,2022,36,2.02613,1.94934,12548,6978,X,13475,2701,2632,38334,3290,1966513
National,X,2022,37,2.04444,1.97433,13405,6751,X,14610,2618,2454,39838,3322,2017799
National,X,2022,38,2.29157,2.19998,15939,6924,X,16713,2658,2492,44726,3334,2033022
National,X,2022,39,2.37316,2.29832,17080,6945,X,16825,2795,2676,46321,3353,2015431
National,X,2022,40,2.61928,2.59379,18503,10718,X,20141,4094,3862,57318,3684,2209814
National,X,2022,41,2.97342,2.85133,20623,11519,X,22779,4394,4073,63388,3720,2223106
National,X,2022,42,3.33747,3.31688,23713,13719,X,28368,5303,4512,75615,3726,2279700
National,X,2022,43,4.40914,4.4466,32012,19586,X,45003,7037,5858,109496,3788,2462467
National,X,2022,44,5.46044,5.54702,37474,25460,X,61015,8469,6829,139247,3776,2510305
National,X,2022,45,5.77391,5.67263,38651,26941,X,57053,9791,7619,140055,3793,2468962
National,X,2022,46,5.95367,5.73531,34849,28672,X,55229,10171,8498,137419,3777,2396019
National,X,2022,47,7.46674,7.37142,39539,36157,X,62925,13876,12439,164936,3765,2237505
National,X,2022,48,7.22916,7.24012,38495,48042,X,63623,18626,16887,185673,3767,2564503
National,X,2022,49,6.83803,6.82928,32316,40778,X,62563,16557,15034,167248,3750,2448985
National,X,2022,50,6.32716,6.46231,28976,38007,X,55613,15506,13570,151672,3751,2347026
National,X,2022,51,5.98024,6.1412,25500,34587,X,41624,14564,13703,129978,3715,2116491
National,X,2022,52,5.33738,5.46656,22891,31974,X,27251,14961,15454,112531,3703,2058533
National,X,2023,1,3.94632,4.07732,16651,27662,X,21006,13549,13166,92034,3740,2257219
National,X,2023,2,2.95379,3.05773,12231,19912,X,18061,9135,8381,67720,3737,2214718
National,X,2023,3,2.64461,2.70671,11720,15844,X,16915,7000,6291,57770,3730,2134322
National,X,2023,4,2.63254,2.67225,12170,15618,X,18680,6410,5353,58231,3716,2179097
National,X,2023,5,2.58785,2.68591,12686,15506,X,19751,6113,5270,59326,3734,2208786
National,X,2023,6,2.59797,2.70465,13271,15921,X,20964,6469,5633,62258,3735,2301891
National,X,2023,7,2.57397,2.6371,13127,15055,X,19818,6263,5402,59665,3695,2262519
National,X,2023,8,2.53338,2.58651,13478,13880,X,18410,6054,5401,57223,3719,2212367
National,X,2023,9,2.41141,2.44348,12693,13849,X,18281,5769,5090,55682,3725,2278801
National,X,2023,10,2.36135,2.40445,12840,13379,X,18388,5365,4714,54686,3722,2274369
National,X,2023,11,2.35552,2.43524,13086,13264,X,17814,5298,4801,54263,3713,2228243
National,X,2023,12,2.31452,2.41343,13043,13685,X,18685,5286,4695,55394,3665,2295244
National,X,2023,13,2.26061,2.34891,12413,13208,X,18078,5005,4638,53342,3688,2270922
National,X,2023,14,2.13495,2.20628,11586,11976,X,15673,4783,4337,48355,3680,2191695
National,X,2023,15,2.01808,2.0726,11151,11853,X,14832,4552,4337,46725,3665,2254413
National,X,2023,16,1.91773,1.95437,9912,11388,X,14788,4361,4058,44507,3680,2277306
National,X,2023,17,1.91233,1.97315,10041,11176,X,15803,4133,3649,44802,3677,2270577
National,X,2023,18,1.95706,2.0174,10013,11224,X,16115,4283,3947,45582,3652,2259439
National,X,2023,19,1.92178,1.99349,10187,11067,X,16725,4072,3718,45769,3654,2295923
National,X,2023,20,1.88696,1.96616,9740,10697,X,15517,3875,3458,43287,3653,2201602
National,X,2023,21,1.83831,1.91398,9389,10386,X,14611,3640,3490,41516,3518,2169098
National,X,2023,22,1.85243,1.93826,9568,10413,X,14220,3845,3543,41589,3601,2145684
National,X,2023,23,1.58197,1.69283,8309,9954,X,11628,3622,3426,36939,3583,2182091
National,X,2023,24,1.49009,1.57462,7741,9289,X,10223,3447,3180,33880,3589,2151633
National,X,2023,25,1.36698,1.44401,6998,8727,X,8941,3236,2987,30889,3582,2139112
National,X,2023,26,1.276,1.32385,6388,8130,X,8012,3046,2910,28486,3539,2151758
National,X,2023,27,1.23501,1.29091,5944,7472,X,7475,2940,2817,26648,3569,2064286
National,X,2023,28,1.16269,1.20177,5608,7567,X,7043,2925,2760,25903,3542,2155400
National,X,2023,29,1.12962,1.19268,5718,7476,X,6836,2931,2841,25802,3560,2163359
National,X,2023,30,1.1716,1.23085,5812,7475,X,7046,3137,2947,26417,3551,2146245
National,X,2023,31,1.20886,1.26099,5678,7979,X,6966,3273,3000,26896,3542,2132922
National,X,2023,32,1.28069,1.35931,5982,8642,X,7764,3560,3365,29313,3521,2156467
National,X,2023,33,1.45906,1.53965,6688,9791,X,9759,3784,3641,33663,3533,2186399
National,X,2023,34,1.72129,1.8262,8234,11256,X,13151,4300,4038,40979,3524,2243946
National,X,2023,35,1.95643,1.97735,8980,11792,X,14664,4630,4345,44411,3537,2245988
National,X,2023,36,2.02622,2.0246,9546,11819,X,14159,4621,4589,44734,3538,2209523
National,X,2023,37,1.95721,1.99147,9485,11798,X,14904,4699,4401,45287,3558,2274050
National,X,2023,38,2.04894,2.13438,10912,11970,X,16162,4711,4510,48265,3558,2261308
National,X,2023,39,2.10325,2.17945,11376,12299,X,16110,4934,4550,49269,3552,2260617
National,X,2023,40,2.29409,2.25965,13515,13438,X,18996,5292,5054,56295,4128,2491313
National,X,2023,41,2.35629,2.31301,14420,13961,X,18595,5434,5096,57506,4148,2486196
National,X,2023,42,2.54523,2.51545,15718,14462,X,20300,5817,6195,62492,4133,2484323
National,X,2023,43,2.73438,2.68179,16984,15465,X,22379,6081,6712,67621,4158,2521484
National,X,2023,44,2.97587,2.91437,17798,16586,X,24800,6341,6695,72220,4153,2478067
National,X,2023,45,3.4444,3.32746,21463,19322,X,29459,7436,7755,85435,4149,2567575
National,X,2023,46,3.72689,3.5745,22022,21552,X,30835,8085,8424,90918,4152,2543517
National,X,2023,47,3.96686,3.78988,22394,20386,X,25934,8372,8416,85502,4165,2256063
National,X,2023,48,4.06965,3.96215,22639,28337,X,30321,11136,11207,103640,4138,2615751
National,X,2023,49,4.42663,4.3563,23350,29015,X,38095,12199,11371,114030,4101,2617588
National,X,2023,50,5.23245,5.20845,26071,35004,X,48250,13996,12571,135892,4117,2609070
National,X,2023,51,6.29572,6.31279,29762,45247,X,53470,18106,16624,163209,4088,2585371
National,X,2023,52,6.8592,6.90688,31481,50032,X,41777,21691,21711,166692,4080,2413419
National,X,2024,1,5.77064,5.76466,24673,47010,X,32305,20528,19380,143896,4106,2496177
National,X,2024,2,4.71362,4.75563,18145,37092,X,31387,16399,15393,118416,4105,2490019
National,X,2024,3,4.37578,4.35186,16151,30564,X,29114,12633,11559,100021,4115,2298349
National,X,2024,4,4.29221,4.22583,16221,31784,X,34337,12491,10652,105485,4139,2496196
National,X,2024,5,4.46959,4.28039,17262,30409,X,38505,11597,10056,107829,4121,2519137
National,X,2024,6,4.51087,4.40275,17960,31605,X,41731,11546,10047,112889,4124,2564056
National,X,2024,7,4.40285,4.33686,17397,30758,X,38911,11238,9967,108271,4112,2496527
National,X,2024,8,4.38166,4.32491,17657,31252,X,37044,11326,10182,107461,4105,2484697
National,X,2024,9,4.10029,4.08159,17331,30552,X,35943,11050,9916,104792,4104,2567431
National,X,2024,10,3.75989,3.73457,16496,26606,X,33089,9713,8823,94727,4108,2536489
National,X,2024,11,3.4346,3.40127,15875,23698,X,29127,8468,7744,84912,4047,2496480
National,X,2024,12,3.11693,3.15481,15096,22016,X,26538,7830,7127,78607,4101,2491652
National,X,2024,13,2.9996,3.03476,14433,21235,X,23555,7506,7110,73839,4094,2433109
National,X,2024,14,2.79499,2.83371,13917,20143,X,20515,7156,6787,68518,4069,2417957
National,X,2024,15,2.5645,2.59337,13266,18233,X,19720,6845,6378,64442,4083,2484876
National,X,2024,16,2.27006,2.29456,11842,15624,X,18298,5938,5768,57470,4069,2504615
National,X,2024,17,2.21325,2.24482,11395,14879,X,18174,5638,5289,55375,4042,2466789
National,X,2024,18,2.12433,2.14601,11133,14255,X,17595,5360,5135,53478,3996,2491968
National,X,2024,19,2.02828,2.0419,10363,13405,X,16469,5174,5015,50426,4041,2469565
National,X,2024,20,1.99982,2.03166,10317,13145,X,15717,5045,4984,49208,3996,2422054
National,X,2024,21,1.91582,1.95411,9824,12781,X,14657,5195,4953,47410,3955,2426169
National,X,2024,22,1.9033,1.92181,9659,11920,X,13367,4831,4942,44719,3942,2326923
National,X,2024,23,1.6833,1.72696,8269,11763,X,11477,4806,4905,41220,3914,2386858
National,X,2024,24,1.60359,1.60654,7418,10839,X,10222,4583,4634,37696,3905,2346408
National,X,2024,25,1.51236,1.54888,6726,10967,X,9030,4331,4679,35733,3893,2307019
National,X,2024,26,1.48754,1.50461,6253,10612,X,9059,4520,4678,35122,3827,2334300
National,X,2024,27,1.39399,1.45347,5790,9437,X,8036,4016,4680,31959,3845,2198810
National,X,2024,28,1.39107,1.43179,5710,10596,X,8336,4534,4562,33738,3730,2356358
